Time,Open,High,Low,Close,Volume,target
2020-01-09 01:00:00,1.11135,1.11195,1.1111,1.11174,4475,-0.36185680633218825
2020-01-09 02:00:00,1.11173,1.1119,1.11145,1.11152,2856,0.0
2020-01-09 03:00:00,1.11152,1.11179,1.11141,1.11152,2374,0.034744458661948606
2020-01-09 04:00:00,1.11153,1.11158,1.11127,1.11154,2189,0.538744457991453
2020-01-09 05:00:00,1.11154,1.11189,1.11151,1.11182,2055,-0.8559377061296566
2020-01-09 06:00:00,1.11182,1.1119,1.11111,1.11123,4362,0.603230100749408
2020-01-09 07:00:00,1.11123,1.11204,1.1111,1.11152,7811,0.4401780628728693
2020-01-09 08:00:00,1.11152,1.11177,1.11051,1.11172,9679,-0.9998981119458534
2020-01-09 09:00:00,1.11172,1.1119,1.10984,1.10995,11934,0.9581397074254845
2020-01-09 10:00:00,1.10994,1.11118,1.10966,1.11096,7702,-0.7054673782764854
2020-01-09 11:00:00,1.11096,1.11126,1.11034,1.11046,6155,0.9155096693433036
2020-01-09 12:00:00,1.11045,1.11167,1.11033,1.11135,8675,0.21127292002852527
2020-01-09 13:00:00,1.11135,1.11173,1.11058,1.11148,9452,-0.7967462432020257
2020-01-09 14:00:00,1.11149,1.11149,1.11038,1.11082,10915,-0.7522044704935762
2020-01-09 15:00:00,1.11082,1.11107,1.10924,1.11022,11174,0.542237246279633
2020-01-09 16:00:00,1.11021,1.11061,1.10935,1.1106,11614,-0.21770111771373613
2020-01-09 17:00:00,1.11059,1.11113,1.11037,1.11046,7833,0.06479671321027602
2020-01-09 18:00:00,1.11046,1.11086,1.11033,1.1105,6400,0.17904173753014346
2020-01-09 19:00:00,1.11051,1.11098,1.11049,1.11061,3396,0.016571847333322107
2020-01-09 20:00:00,1.1106,1.11073,1.11038,1.11062,3179,-0.18037830272547
2020-01-09 21:00:00,1.11062,1.11069,1.11034,1.11051,1468,0.2312589361802284
2020-01-09 22:00:00,1.11051,1.11066,1.11028,1.11065,1020,0.4387366375608349
2020-01-09 23:00:00,1.11065,1.11093,1.11063,1.11093,987,-0.3802881470964469
2020-01-10 00:00:00,1.11092,1.11094,1.1106,1.11069,2606,-0.4213037576761216
2020-01-10 01:00:00,1.11069,1.11073,1.1102,1.11042,2414,0.550330022339422
2020-01-10 02:00:00,1.11041,1.11083,1.11036,1.11079,2643,0.03373316657978875
2020-01-10 03:00:00,1.1108,1.11087,1.11071,1.11081,1688,-0.11843678027273812
2020-01-10 04:00:00,1.11081,1.11111,1.11064,1.11074,1797,0.25067558808129653
2020-01-10 05:00:00,1.11074,1.111,1.1107,1.11089,1839,0.0471350930393753
2020-01-10 06:00:00,1.1109,1.11101,1.11068,1.11091,2412,-0.527136454671305
2020-01-10 07:00:00,1.11092,1.1111,1.11042,1.1107,5252,-0.9779403284918151
2020-01-10 08:00:00,1.11069,1.11092,1.10932,1.10993,8469,-0.7359121205805743
2020-01-10 09:00:00,1.10994,1.11,1.10912,1.10963,9399,-0.8212401876995169
2020-01-10 10:00:00,1.10963,1.10984,1.10902,1.10926,7273,0.13364142917896954
2020-01-10 11:00:00,1.10926,1.10962,1.1085,1.1093,5875,0.9630764837953035
2020-01-10 12:00:00,1.10929,1.10994,1.10916,1.10984,5712,-0.555954602225799
2020-01-10 13:00:00,1.10984,1.11136,1.10898,1.10966,14992,0.8904097856585698
2020-01-10 14:00:00,1.10967,1.11034,1.10862,1.11007,14189,0.9992865163100392
2020-01-10 15:00:00,1.11006,1.11179,1.10983,1.11128,13186,0.8523843579942735
2020-01-10 16:00:00,1.11128,1.11205,1.11111,1.1118,8554,0.775669045679946
2020-01-10 17:00:00,1.11179,1.11291,1.11179,1.11224,6820,-0.7289319628315024
2020-01-10 18:00:00,1.11223,1.11232,1.11183,1.11184,4327,0.669265310879532
2020-01-10 19:00:00,1.11186,1.11232,1.11171,1.1122,3177,-0.21989091314390455
2020-01-10 20:00:00,1.11221,1.11221,1.11194,1.1121,2308,-0.7678019000156838
2020-01-10 21:00:00,1.1121,1.11225,1.11165,1.11165,1845,0.022111056458012826
2020-01-12 22:00:00,1.11141,1.11209,1.11128,1.11166,649,-0.11154518707705117
2020-01-12 23:00:00,1.11166,1.11182,1.11146,1.11161,1250,0.5240258431606676
2020-01-13 00:00:00,1.11161,1.11187,1.11159,1.11187,1503,0.522223392676021
2020-01-13 01:00:00,1.11186,1.11214,1.11172,1.11213,2096,0.7609177577386249
2020-01-13 02:00:00,1.11213,1.11261,1.112,1.11258,2154,0.6425833700465093
2020-01-13 03:00:00,1.11257,1.11299,1.11252,1.11293,2746,-0.4294197380883648
2020-01-13 04:00:00,1.11292,1.11306,1.11272,1.11272,1372,0.5382415099454702
2020-01-13 05:00:00,1.11272,1.11318,1.11271,1.11297,1742,-0.24321370495199213
2020-01-13 06:00:00,1.11296,1.11302,1.1125,1.11287,2226,-0.9131167096929815
2020-01-13 07:00:00,1.11287,1.11301,1.1122,1.11227,5909,0.8476709705623453
2020-01-13 08:00:00,1.11227,1.11296,1.112,1.1128,16014,-0.9954307320284961
2020-01-13 09:00:00,1.1128,1.11361,1.11147,1.11151,10390,0.29377318728434604
2020-01-13 10:00:00,1.11151,1.11195,1.11125,1.11167,6951,0.6085022961199281
2020-01-13 11:00:00,1.11167,1.1124,1.11164,1.11204,6328,0.724718383906781
2020-01-13 12:00:00,1.11204,1.11262,1.11184,1.11246,6878,-0.8679800388494516
2020-01-13 13:00:00,1.11245,1.11284,1.11182,1.11186,7828,0.8230585294024576
2020-01-13 14:00:00,1.11187,1.11267,1.11175,1.1124,11511,0.9591622987712147
2020-01-13 15:00:00,1.11239,1.11382,1.1121,1.11331,10226,0.6699108727524463
2020-01-13 16:00:00,1.1133,1.11469,1.11325,1.11372,8038,0.4539365623988572
2020-01-13 17:00:00,1.11372,1.11418,1.11355,1.11397,4028,-0.020154485228278923
2020-01-13 18:00:00,1.11397,1.11448,1.11384,1.11396,3476,-0.27481412078424255
2020-01-13 19:00:00,1.11395,1.11414,1.11376,1.11382,3737,-0.13957238776101494
2020-01-13 20:00:00,1.11381,1.11386,1.11361,1.11375,2486,-0.6305082699729462
2020-01-13 21:00:00,1.11376,1.11379,1.11331,1.11338,1463,0.2874645423895669
2020-01-13 22:00:00,1.11338,1.1139,1.1132,1.11353,1137,-0.17826835829012544
2020-01-13 23:00:00,1.11355,1.11365,1.11333,1.11344,1205,0.6571476687950492
2020-01-14 00:00:00,1.11344,1.11421,1.11339,1.11383,2714,-0.23623409904777734
2020-01-14 01:00:00,1.11384,1.11409,1.11312,1.11371,5264,0.02009418944502572
2020-01-14 02:00:00,1.11372,1.11386,1.11353,1.11372,3231,-0.3295513330067099
2020-01-14 03:00:00,1.11373,1.11387,1.11352,1.11355,2959,0.18681542345824156
